NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BE10,3857419,8534034,8005931,6142900,15724331,8946098,8585447,17746419,14644507,15808883,9823679,9004212,7491309,8237059,4888696,29893580,11207930,13317151,34285296,21728087,20165118,28912146
BE21,14753693,10143709,10262733,7415308,38120597,22106197,25673940,34922458,38062100,44816847,19951993,50477959,26981261,48933603,10352335,11885062,17272484,30572422,43698889,40972165,39801224,51813381
BE22,29514579,10695771,8326549,14230349,38545740,20674565,23165224,36792883,37170800,39295034,16517045,40336836,23455607,39184494,8462279,5853946,10606166,16375036,22104320,19193553,18632000,24324377
BE23,6132617,6901196,6413304,3589450,25791481,18068834,18014141,26052274,30830598,34730395,18123284,39852495,21780303,36959856,8661371,10011056,13882400,24382092,35128820,33444443,32430334,42494428
BE24,3925785,3762201,4132990,1740156,15774277,10028438,10759722,14071997,17999398,22852782,9548694,26762600,13208681,26239151,5007902,7257765,9947396,18592610,26185428,25314253,24711742,32323485
BE25,4944736,7063420,4676153,1820367,27213959,14250935,16234021,27746110,31566163,35407086,24933355,44417574,27303435,37368676,11124592,8571764,12849748,19507576,29312126,26254521,25362095,33114882
BE31,21145968,14708597,23480121,222766,28375939,70003140,39053499,52766326,58396662,14124248,7408575,20368259,18883122,20551649,29386722,17245493,4241714,5445215,11162772,24591307,9702268,12438846
BE32,106969017,47890367,141155293,33806770,82154007,128494695,90914457,106610001,124374447,114488960,54147381,27158459,196486248,170610864,129416730,66341871,13858190,24653314,69638999,99773300,46430639,77972538
BE33,68631682,1278950,14293556,13317544,14449128,22142260,17059514,21128388,26522174,27577763,25674164,12753676,41697232,33499608,39195884,31156719,10241556,22071023,51098616,65469758,40823658,67006436
BE34,1468585,790784,5171303,4904114,10894818,8799050,9269093,13388549,18182929,15855930,14477521,7408316,20132187,22155065,29945162,16771078,3369857,5244002,13431681,16549966,10218053,17212277
BE35,1872616,1233693,4023072,4253779,5422039,9736863,6641696,9843534,15517703,19784043,13813609,7847704,26763279,25320933,32493412,20530569,5073542,9100141,22836221,28601272,17299960,29108000
BG31,0,4759663,36043,2904763,5210007,22717088,1262365,32144809,41233070,78825679,89228273,93311041,131255964,158990671,159711928,199109687,115898884,75250800,107531188,134489885,118363351,156579773
BG32,0,450945,1322673,1610650,4277192,4199734,3660601,18684358,44541382,56843002,99219855,102199009,153168017,192071206,189782713,214457123,121391624,79094747,115306427,146562746,127657714,166259205
BG33,0,492885,82114,2646034,7305198,2053133,4821247,21684055,47909985,76837243,104100715,94615686,132399705,174605756,159214070,182306075,122523383,92494336,132314652,168360852,156528284,205211134
BG34,0,3557379,50380,1142058,4548370,5977414,7041297,36877258,72425948,88454888,127909518,190174790,237283959,217569729,257293436,272110502,206237844,103048914,158424253,192197473,171821985,226383850
BG41,0,5780675,1010693,17105952,12562557,19767746,26241874,59095846,84180999,130120239,224591852,256636897,340167820,298123883,381099795,409484223,351160123,208297908,315478299,364379045,355106313,461966859
BG42,0,756742,16668286,942397,6751693,19808628,7366436,46185770,68575247,95025054,166889340,178932023,247401293,256578287,274918381,297372460,224216134,140287306,206405473,255244494,239280993,313265891
CZ01,0,7411,1596493,7729461,23063509,9730278,72628748,61454734,151300517,169163844,116718769,146805839,252744386,155329416,232163246,445864987,239316434,125251953,180424560,160994747,236362925,257961457
