NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BE10,50336.08,52193.78,54051.48,54681.25,57619.35,59500.55,62125.09,64604.73,65375.89,65745.94,69023.48,71102.47,73300.12,74151.48,76049.18,78882.48,80091.73,82258.01,84237.94,87454.96,83651.67,90084.93
BE21,46547.33,48823.14,51098.94,52247.68,55681.61,59450.38,61495.13,65422.79,67004.96,65018.43,68049.76,71013.31,72869.48,74055.77,76055.11,79430.67,82295.28,85077.73,87852.28,91705.01,89778.66,98779
BE22,16134.42,16816.53,17498.64,18221.31,18762.34,19244.75,20541.35,21814.43,22647.58,21328.59,22467.09,23635.61,24220.78,24594.03,25494.5,25873.33,26781.5,27865.47,28728.56,29540.63,28556.45,31756.43
BE23,28619.63,30107.16,31594.7,33095.91,34752.22,35993.11,38106.79,40732.43,41429.03,41275.71,43051.8,44794.11,45777.59,46833.25,47924.08,50176.97,52027.03,54304.33,55670.76,57692.55,55881.55,63411.61
BE24,25044,26389.55,27735.1,28543.06,30324.9,31741.74,33822.53,35700.8,36663.01,37041.62,38089.49,39331.27,41057.01,41839.53,42756.87,44518.88,46550.41,48158.68,50024.55,52010.44,48775.74,55670.79
BE25,25599.78,26754.03,27908.29,28731.74,30169.34,31353.22,33471.28,35549.38,35831.67,34898.61,36544.21,37811.9,38888.25,39815.51,41049.89,42128.19,43736.16,45241.89,46597.39,48494.07,46939.2,52313.89
BE31,7209,7892.77,8576.53,9715.17,10461.78,11295.38,11352.17,12404.8,12903.58,12954.57,14595.83,13784.11,14453.5,15122.87,15879.51,16292.47,17328.49,18175.87,20195.88,22737.29,21699.05,21517.11
BE32,21221.6,21916.93,22612.26,22360.62,23825.12,24687.88,25599.3,26901.32,27960.62,26779.14,28124.23,29370.93,29680.32,29980.1,30735.48,31357.85,32052.95,33009.56,34206.21,34843.36,33457.66,36812.74
BE33,18865.4,19571.55,20277.69,20222.03,21290.71,22238.3,23248.53,24499.49,25357.82,25020.43,25948.39,27267.77,27793.25,28102.84,28358.8,28973.52,29696.65,30799.97,31722.93,32794.78,31258.08,34849.84
BE34,4380.36,4529.06,4677.76,4691.4,4850.96,5100.98,5451.47,5652.55,5730.12,5664.92,5873.33,6114.64,6156.31,6249.7,6303.52,6470.84,6606.17,6864.28,7056.42,7323.64,7096.45,7872.56
BE35,7830.27,8139.91,8449.56,8404.1,8861.04,9254.36,9763.76,10157.41,10653.09,10551.51,11127.74,11488.21,11710.97,11863.24,12126.9,12337.57,12737.95,13102.96,13509.46,13802.93,13374.26,14545.99
BG31,1672.82,1815.28,1892.57,1922.44,2046.35,2256.86,2339.19,2663.91,2941.06,2832.57,2795.02,3006.44,3002.74,2956.11,3060.44,3089.1,3223.4,3539.86,3937.27,3960.79,4210.22,4979.02
BG32,1502.99,1683.88,1888.88,1885.84,2041.66,2295.51,2463.79,2805.53,3124.95,3070.75,3012.56,3271.96,3404.64,3427.13,3555.6,3640.32,3798.92,4050.22,4314.58,4583.29,4607.21,5362.05
BG33,1727.54,1836.68,2000.57,2146.25,2391.23,2696.08,3106.61,3615.43,4192.89,4024.47,4041.76,4439.28,4598.13,4572.02,4779.18,4976.82,5175.32,5541.61,5969.28,6339.33,6218.44,7122.88
BG34,2201.62,2211.92,2302.96,2545.48,2845.76,3295.26,3526.06,3892.94,4525.51,4596.86,4656.23,4940.64,5193.12,5215.94,5453.75,5598.29,6343.09,6761.79,6793.48,6857.5,6389.62,8210.19
BG41,5102.65,5891.27,6764.78,7389.16,8467.26,9766.57,11822.36,14767.34,17215.06,17590.66,18375.77,20003.47,20020.6,19926.63,20315.97,22005.91,23382.18,25261,27218.31,31073.97,31162.18,35872.32
