NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BE10,52470.692721287414,54120.188095250436,55245.670411617524,55119.949679499136,57625.17014218436,59101.672810203934,60978.451203568104,62649.13718283772,62352.36163209794,61529.219527351546,63351.14516428064,62547.36632834203,63666.323,63637.977082203346,64846.82596731958,66618.03342789171,66671.71403954932,68600.07755849203,69878.47285589618,71962.21478001136,68378.39759875229,73459.02282
BE21,28313.943303170614,29667.961391594334,30923.138370298646,31453.30346591665,33366.017262579604,35453.43732146669,36420.12729694467,38471.09498579888,39053.84777237606,37557.42057124241,39000.08138179409,40046.59760769247,40766.370720955085,41174.004297775224,42097.685530107374,43714.4895,44996.48154354985,46266.48641035248,47499.96620750323,49291.313485302104,47930.64953993257,52561.08865
BE22,20392.90779066152,21158.590058946756,21912.111828075478,22704.89004745006,23284.519711188826,23760.65199730351,25214.69131832008,26594.141943160317,27395.492869152888,25599.63272360651,26794.223051740897,27909.998335008164,28442.90112945918,28757.78314875943,29719.272968045472,30037.068425085326,30890.918947599108,32041.650568495417,32917.69933508185,33728.26377,32428.327439637884,35954.96293
BE23,21018.76216838288,22078.00703,23118.321269789238,24155.20065161415,25297.891855691116,26080.60304100076,27425.808773255605,29130.944113833477,29413.915955026823,29058.908840022104,30057.26350006912,30915.345690054994,31409.84666137881,31998.36158987274,32576.461839434556,33925.15731392266,34938.949045184825,36239.536918336744,36960.28234694257,38048.66901495301,36607.96758044293,41340.766789492765
BE24,24681.089263469938,25912.678968934695,27116.279388084524,27769.971756277006,29387.32672806773,30586.016770316808,32392.932701102254,33921.06355828734,34580.17679149469,34655.97218661762,35368.78182675844,36127.08644869256,37451.07107,37935.682700354606,38575.02832891859,39941.93380525574,41466.60431141992,42594.026059484684,43937.22344112579,45358.878046610844,42176.398868971955,47860.60870746381
BE25,22679.278580123213,23675.294679834344,24647.978627100307,25338.173133991397,26562.147275669526,27538.987600384015,29312.79151844437,31023.70409415313,31144.784773752333,30207.662145435344,31520.85709,32373.14662132428,33158.608281924804,33859.51902495359,34849.028172182676,35672.92458573852,36926.28784770241,38069.35671028528,39083.44195112786,40513.176746770034,39039.48261407641,43410.378051300264
BE31,20603.971602016667,22421.49549170781,24145.160427581668,27136.436767482654,29002.736217034406,31050.371657283602,30976.148831726612,33484.85666468715,34548.477611300914,34486.20372958511,38459.16498689116,35929.05475852865,37378.16247417135,38845.515632866525,40549.40003932494,41315.37439393017,43566.83302115677,45469.79874166635,50300.068740847004,56242.83276028397,53341.61762,52696.03869466724
BE32,16586.281631335547,17124.969624705915,17651.45873437405,17445.982151913155,18566.957605985037,19193.314026938253,19843.20340072197,20775.722789772357,21506.56451018655,20529.28622025151,21470.84465752588,22255.00380755373,22386.404177342458,22516.79553571093,23032.78645526943,23440.214385025938,23897.51630361442,24596.31624086381,25455.670523517663,25885.020377659013,24778.037391829195,27271.504251178456
BE33,18505.613855422867,19187.00406453852,19799.91798,19712.616562784522,20678.522345948204,21506.560776152197,22347.973703663472,23390.454968140584,24065.000066431185,23603.399887739557,24303.41345996244,25198.09894504942,25543.529208491334,25707.163706982585,25882.823245511157,26365.857587066374,26911.571468703838,27847.09219114335,28621.219790124425,29543.037003138546,28060.753557408232,31302.51391329029
BE34,17747.184182805282,18207.27638190955,18680.70253907654,18594.898828752055,19089.249173618762,19925.39179075327,21085.025159835543,21642.519660920905,21698.096060344436,21220.902790784792,21832.07383755292,22381.142365622884,22328.689615651056,22506.03190608232,22656.684122939125,23088.620964029957,23322.17738661357,24117.60365684411,24758.49970176485,25545.947642883304,24503.80862274953,26985.774517533337
BE35,17639.596938970903,18258.124282227964,18870.10217,18659.398972013456,19567.01468016323,20300.748251119305,21291.56908154409,21986.54495944656,22891.16420989299,22516.853213260634,23561.69314454742,23964.425327397963,24259.976632803566,24466.342187757797,24940.665939987248,25236.603965013623,25886.24881623496,26517.393301722026,27283.129829266618,27778.58725555504,26778.887258150742,29063.555842386148
BG31,1547.1067470545856,1701.0063906744879,1864.044526609298,1934.4763116108427,2101.940007375048,2364.702245925429,2502.4632122855724,2907.2211527128434,3273.7699680866813,3213.086153954352,3229.9972727230706,3544.368862218974,3589.213974164506,3618.7945063944753,3819.138621039929,3934.217028278578,4191.857387898311,4700.640985633264,5343.830246963848,5495.342377565716,5975.537060586793,7150.394642
BG32,1434.6024988784636,1618.9332546242395,1922.5241730279897,1950.2590052007872,2144.544523515664,2447.048364039899,2667.470007351325,3083.128746035549,3483.4880026753617,3470.334754655272,3447.649979800893,3795.248921263861,3989.182957064588,4127.823995394164,4366.240595132985,4562.004599199213,4861.547282,5293.810107621888,5765.780935122971,6267.515592586667,6451.997339215069,7603.145591365222
BG33,1683.7310030321075,1804.473752465987,1973.1958539185875,2130.1059271779186,2387.298119996366,2705.4598292279334,3134.1371263810042,3666.2999112688553,4273.474917,4123.170454335893,4158.480222896252,4593.968093649361,4779.934820913443,4871.137041148782,5167.5358194382425,5464.835252921108,5776.155717761557,6286.475639043327,6887.779121396461,7448.579979061873,7443.382585297188,8557.800669
BG34,1819.9929568499595,1838.1061835563323,1989.2356555306117,2219.0625553026466,2502.8055597575435,2921.065648319035,3150.940529913766,3506.0665883726124,4106.264500739045,4200.911489390479,4282.847106415583,4580.617227750495,4840.490282891364,4938.275579018526,5224.418907630645,5428.655376786185,6231.2392553661775,6728.497394890084,6852.597357,7015.474453749532,6630.616383058649,8558.245277177533
BG41,2381.411303,2748.934959,3210.219507380186,3496.4650458070064,3996.988307268187,4602.302902071292,5564.906476926488,6945.473153286031,8091.692683142358,8259.088059985304,8616.466773014028,9374.879026456474,9393.904842877339,9427.293246919999,9660.103277098351,10517.192185913136,11236.581514326988,12204.560827133057,13222.733826649981,15182.652261520632,15317.498821529705,17714.92713
BG42,1326.0300889076852,1469.9042342434695,1650.9291756376856,1845.011288972323,2112.610433130835,2407.1990783320907,2702.6467576714053,3097.3347368863174,3470.7993565354514,3533.6706832769196,3627.8159430030196,3930.006585946603,4103.046209419165,4118.018646890918,4097.869293149121,4593.755200164281,4900.634498278488,5343.055692918104,5875.931977876658,6519.478887493465,6848.322971,7240.709818146393
CZ01,12826.680597040076,14932.335220884495,18157.807917255388,18848.49621104452,20665.508510120493,24082.115911529327,27058.309655934052,30720.875893257962,35755.44051505578,32451.577040270113,34771.168110286235,34927.19424,34194.74189474769,33677.42504692087,33321.90048109678,35849.1167,37509.94320087041,40521.972529652296,44559.23578982984,47073.37127626407,44440.09825738875,53178.89365918884
CZ02,6524.590724467631,7308.207715646791,8564.741368,8454.017931903423,9161.003442840916,10057.669864720152,11626.928846746772,12872.99015118761,14816.541325849505,13090.74654280501,13353.050115045738,14311.383683297681,14082.378091914221,13460.175442942338,13535.569929726276,14415.444701166807,15355.036943919402,16770.77063022505,17681.060323256665,19536.847163434435,17727.22055011006,19337.63081128496
CZ03,6123.073187875536,6881.371179418024,7841.017624,7923.942747437874,8726.045491,9838.596557010611,11130.338142168062,11923.83299244575,13191.748184116941,12430.308438331876,13027.547738743475,13565.827442136755,13280.283015978017,13192.207379818705,12967.502247606959,13761.838896160827,14305.479846844251,15696.588908758013,16885.698093057235,17801.95711624912,17089.23630976789,18902.98322861525
CZ04,5453.437976490626,6021.463123,6880.167259459811,7081.625412085218,7536.8261903658195,8530.141461597552,9477.090559,10374.818760567654,11810.923310346048,11237.929414999026,11378.176765114586,11682.24034932153,11464.182441338377,11077.28912086062,10762.32263430212,11624.603277053946,11759.294126465438,12760.699599150721,13535.485500095812,14594.056566145462,13671.36386737885,15191.035205032917
