NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BE10,959318,964405,978384,992041,999899,1006749,1018804,1031215,1048491,1068532,1089538,1136778,1151317,1165208,1172751,1184101,1201285,1199095,1205492,1215290,1223364,1226329
BE21,1643972,1645652,1652450,1661119,1668812,1676858,1688493,1700570,1715707,1731174,1744862,1773267,1787490,1798605,1806634,1817033,1828927,1838863,1849523,1860470,1873095,1879318
BE22,791178,794785,798583,802528,805786,809942,814658,820272,826690,833160,838505,846851,851558,855213,857844,861380,866970,869664,872739,875842,880602,883228
BE23,1361623,1363672,1366652,1370136,1373720,1380072,1389450,1398253,1408484,1420415,1432326,1448928,1457428,1463614,1471126,1479049,1489084,1498483,1506232,1516283,1526486,1533876
BE24,1014704,1018403,1022821,1027839,1031904,1037786,1044133,1052467,1060232,1068838,1076924,1088692,1096284,1102907,1108408,1114590,1122600,1130644,1138546,1146643,1156470,1163186
BE25,1128774,1130040,1132275,1133931,1135802,1138503,1141866,1145878,1150487,1155290,1159366,1168002,1172795,1175903,1177935,1180957,1184418,1188407,1192254,1196995,1202352,1205101
BE31,349884,352018,355207,358012,360717,363776,366481,370460,373492,375645,379515,383648,386683,389308,391609,394344,397745,399735,401508,404270,406794,408325
BE32,1279467,1279823,1281042,1281706,1283200,1286275,1290079,1294844,1300097,1304436,1309880,1319745,1325819,1331455,1334423,1337780,1341267,1342053,1343756,1346082,1350295,1349861
BE33,1019442,1020042,1024130,1025842,1029605,1034024,1040297,1047414,1053722,1060035,1067685,1082136,1088074,1093191,1095661,1098903,1103490,1106039,1108371,1110068,1113943,1113324
BE34,246820,248750,250406,252295,254120,256004,258547,261178,264084,266950,269023,273205,275713,277690,278219,280261,283257,284617,285010,286685,289606,291730
BE35,443903,445824,447775,450395,452856,455863,458574,461983,465380,468605,472281,479386,482728,484880,486230,488876,492074,494127,495158,496891,499433,500489
BG31,1081257,1067180,1015303,993778,973553,954395,934755,916308,898371,881573,865332,848230,836601,816877,801343,785188,768967,753059,736788,720754,704576,696328
BG32,1047670,1040117,982500,966969,952025,938073,923643,909962,897075,884857,873801,862120,853468,830251,814339,797965,781422,765086,748308,731277,714075,705241
BG33,1026019,1017848,1013873,1007579,1001647,996533,991217,986125,981143,976062,971932,966328,961965,938594,924847,910699,895980,881513,866648,851079,835432,832326
