NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BE10,15.7,14.7,15.2,15.6,15.4,16.3,18.3,17.4,17.6,20.2,16.6,18.3,19.2,18.9,22.1,20.8,18.3,21.3,24,19.1,25.1,24.8
BE21,17.6,21.7,23,20.6,19.6,21,22.5,20.9,25.4,23.8,23.9,26.4,26.1,29.2,29.2,28.2,25,29,26.9,27.8,29.9,28.9
BE22,19.5,19.5,21.1,21,26,19.3,23,22.3,23,24.8,26.9,26,29.7,26.3,27.6,26.8,27.5,25.9,23.7,33.4,33.9,36.4
BE23,22.5,21.3,24.7,20.5,23.2,23.7,23.2,22.9,25,28.3,23.5,26.3,28,31.2,28.9,32.3,30.2,30.2,31,29.5,32.8,38.6
BE24,19.1,22.9,21.7,23.5,25.5,23.8,23.9,26.3,30.7,31.5,29.6,28.7,31.6,30.5,30.2,31.7,31.5,35,32.4,35.3,29.1,30.7
BE25,24.2,27.5,26.9,26.6,26.5,25.8,25.1,26.4,27.1,26.8,26.3,26.8,30.1,27.7,32.3,32.5,37,39.1,35.9,38,40.8,39.5
BE31,17.7,18.3,20,18,18.7,20.1,19.4,26.1,28.2,28.6,26.8,27.2,29,29.6,25.4,29.5,28,28.9,25.2,30.9,27.4,31.7
BE32,15.7,15.7,16.3,14.6,19.2,12.9,15.5,15.2,15.1,16,17.6,12.8,15.5,18,18,16,20.8,21.4,24.5,21.8,23.1,22.9
BE33,15,18.6,19.1,17.9,17.5,17.7,17.6,17.9,16.1,20.6,19.5,18.2,22.8,23.8,20.8,21.8,21.7,19.4,21.4,21.2,23.4,26
BE34,19.5,21.5,17.3,18.4,20.4,18,23.1,19.3,20.4,23.4,21.9,17.9,24,23.6,28.5,25.1,25.7,31.1,28.8,22.4,22.3,30
BE35,17.5,17.4,17.7,19.3,15.3,18.2,20.1,16.2,19.2,16.3,23,17.6,22.2,22.1,21.5,18.3,19.8,20.7,23.8,28.1,24.5,27.5
BG31,,,,6.9,,,,,,,,,,,,,,,,,,
BG32,,,,7.8,7.2,6.8,6.6,,,6.1,7.5,,9,9.9,9.9,,,12.3,12.3,,,
BG33,,,,8.1,8.6,8,,,,,5.6,6,8.5,7.3,7.5,10.9,13.3,10,8.1,,,
BG34,,,,6,6.9,,,,,,,,,,,,,,6.5,,,
BG41,6.2,9.7,7.2,7.7,7.6,7.7,8.7,8.5,9,9.4,7,7.6,8.1,10.2,9.6,10.7,10.8,9.7,8.3,6.5,6.9,6.3
BG42,,,,4,,,4.3,,4.7,4.6,,4.4,5.4,5.1,8.6,6,7.6,8.5,9.3,,,
