NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BE10,60.6,51.2,63.6,60.7,57.5,72.6,78.5,78.7,75.4,75.3,85.8,84.1,88.2,97.9,96.5,90.9,89.6,79.0,70.4,67.5,65.9,67.5
BE21,30.3,29.4,34.2,43.4,37.9,46.5,43.0,38.3,35.7,44.6,48.4,45.4,41.8,49.9,49.1,50.0,49.4,48.0,36.6,30.5,33.8,44.6
BE22,17.7,12.4,15.0,23.3,21.1,25.6,23.0,20.1,16.8,21.0,20.8,17.9,18.2,21.3,21.8,23.1,18.8,16.2,15.0,14.5,14.3,13.7
BE23,19.2,22.2,34.3,31.1,24.9,31.8,29.1,31.6,24.2,28.1,35.7,25.2,27.8,27.4,29.5,30.3,29.3,23.4,19.0,20.8,19.7,21.4
BE24,13.5,16.9,19.2,21.0,20.6,21.5,20.3,16.8,20.8,24.6,24.5,17.5,22.4,28.2,25.5,26.4,24.8,24.3,19.1,19.3,20.4,21.2
BE25,15.5,9.3,22.1,19.4,16.5,24.1,21.7,15.6,14.1,22.3,20.1,16.8,20.2,20.6,22.2,22.4,19.7,17.1,14.0,14.0,18.3,20.2
BE31,11.3,8.6,11.2,12.4,11.0,14.3,12.2,11.7,10.9,11.4,14.4,11.3,12.0,14.4,15.7,13.9,14.0,13.7,12.5,10.0,11.2,12.6
BE32,62.0,57.8,46.5,65.7,62.7,72.8,74.6,67.6,61.8,69.3,74.9,61.9,65.0,71.6,77.3,71.1,64.0,60.6,52.3,45.3,43.2,55.5
BE33,34.5,38.3,35.2,39.8,55.0,52.0,51.1,47.7,47.1,55.3,52.5,43.0,49.0,54.1,56.3,59.6,50.2,47.1,36.9,30.2,36.1,44.1
BE34,5.8,5.9,5.1,5.7,7.4,8.7,8.7,7.7,9.0,8.6,9.1,7.4,9.3,9.9,10.6,11.6,9.7,8.5,6.9,7.0,6.7,7.6
BE35,20.2,14.0,14.6,14.8,14.8,20.6,21.1,17.2,17.7,19.1,19.9,16.2,15.0,21.5,18.9,22.6,20.2,15.7,18.1,14.7,13.0,16.3
BG31,,,,44.0,45.9,45.2,40.6,34.0,27.4,29.8,38.9,42.8,39.8,46.3,46.4,38.5,31.7,34.9,34.7,31.5,37.1,31.1
BG32,,,,59.1,60.4,49.2,54.8,44.1,34.9,33.3,43.4,47.1,53.3,56.9,48.5,38.9,33.4,24.8,24.1,17.3,18.8,20.9
BG33,,,,91.9,79.3,53.4,49.9,50.2,40.6,47.7,66.0,68.1,81.3,74.9,56.3,46.4,43.2,42.7,32.4,23.4,23.3,23.2
BG34,,,,75.8,63.8,38.6,39.1,31.6,28.9,32.2,51.2,55.0,57.3,61.3,55.4,49.0,36.6,33.6,25.8,17.5,19.5,23.2
BG41,107.5,149.9,130.6,109.7,91.9,75.4,67.2,42.2,32.0,44.9,76.0,79.6,87.6,105.6,95.9,71.5,57.2,35.7,28.7,23.3,36.3,35.2
BG42,,,,77.3,65.1,72.5,54.1,38.1,35.8,50.1,76.9,83.6,91.1,91.3,82.0,60.9,45.1,35.3,27.6,18.7,20.4,23.2
CZ01,25.2,23.8,21.6,26.7,24.6,22.4,18.1,15.8,12.5,20.8,25.6,23.7,20.9,21.0,16.5,18.7,15.2,11.9,9.1,9.4,16.3,16.8
CZ02,42.0,37.6,27.1,29.4,30.6,30.4,27.0,20.4,16.0,27.8,33.3,32.6,30.2,34.4,34.3,23.2,20.9,14.5,13.7,9.3,13.7,17.7
CZ03,35.8,30.5,28.3,29.3,34.3,30.4,29.3,21.1,19.0,32.2,33.9,32.5,31.9,31.6,33.6,23.9,19.0,12.8,9.1,9.5,12.3,14.9
CZ04,85.2,66.4,63.8,61.0,69.4,78.5,74.0,53.1,44.3,58.6,62.9,52.8,58.9,53.8,48.1,40.3,29.0,19.0,19.0,16.5,21.8,23.1
CZ05,50.6,42.3,36.6,45.9,49.0,40.9,45.2,35.6,29.8,54.4,52.1,48.7,59.2,62.3,47.6,39.3,30.5,21.3,14.9,12.7,17.5,17.7
CZ06,58.2,58.7,53.4,55.6,63.1,62.4,58.1,42.7,33.1,53.3,62.1,59.4,63.1,57.7,50.2,41.5,31.2,26.8,19.9,16.3,19.3,20.4
CZ07,65.6,55.0,50.8,50.5,59.5,58.8,46.9,36.6,29.8,45.4,52.2,45.3,45.4,48.4,41.3,32.1,23.3,20.3,13.4,13.3,14.8,13.2
CZ08,86.4,92.4,75.6,85.2,88.4,86.4,73.1,51.3,45.3,59.7,61.4,55.5,57.1,59.7,51.9,48.8,42.3,28.8,22.5,22.0,21.3,26.7
DK01,,,,,,,,38.8,34.0,56.2,72.1,77.3,78.0,71.9,70.7,65.4,61.4,61.4,53.6,51.0,62.2,58.2
DK02,,,,,,,,15.6,14.8,23.8,29.5,30.3,27.0,28.8,26.1,23.8,24.9,22.7,21.0,20.4,22.3,20.7
DK03,,,,,,,,21.5,22.8,40.6,48.6,46.8,47.9,45.0,40.6,36.3,36.4,36.6,30.2,29.2,30.7,27.7
DK04,,,,,,,,21.8,24.0,42.5,50.6,46.4,47.2,44.8,40.6,37.2,35.6,36.0,32.2,33.9,38.1,33.1
DK05,,,,,,,,13.0,11.7,23.1,22.7,23.1,23.6,19.7,20.2,18.8,17.5,16.0,16.1,17.5,17.3,15.4
DE11,75.9,69.4,83.2,116.4,133.9,149.0,133.9,105.2,89.4,110.8,100.6,74.1,70.5,76.6,66.5,73.3,73.3,67.1,52.6,54.8,79.0,70.8
DE12,59.3,54.4,66.0,80.6,92.3,103.6,99.3,77.0,68.1,78.1,71.1,58.2,56.3,51.1,50.0,48.1,45.8,48.9,44.4,43.7,52.9,50.6
